##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	160123_I132_FCH3YHMBBXX_L4_OYSzenG1AAD96FAAPEI-109_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	364261046
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.571547384180082	32.0	32.0	32.0	32.0	32.0
2	31.64609899571858	32.0	32.0	32.0	32.0	32.0
3	35.64775337519895	37.0	37.0	37.0	32.0	37.0
4	36.179878487473516	37.0	37.0	37.0	37.0	37.0
5	36.39936176980066	37.0	37.0	37.0	37.0	37.0
6	39.93118984509807	41.0	41.0	41.0	37.0	41.0
7	40.06797571212157	41.0	41.0	41.0	37.0	41.0
8	40.05636204097432	41.0	41.0	41.0	37.0	41.0
9	39.96219685263848	41.0	41.0	41.0	37.0	41.0
10-11	40.10646462317577	41.0	41.0	41.0	37.0	41.0
12-13	40.084267669675555	41.0	41.0	41.0	37.0	41.0
14-15	40.08426972314794	41.0	41.0	41.0	37.0	41.0
16-17	40.08014199657242	41.0	41.0	41.0	37.0	41.0
18-19	40.1049992482589	41.0	41.0	41.0	37.0	41.0
20-21	40.07568736707576	41.0	41.0	41.0	37.0	41.0
22-23	40.0419914747074	41.0	41.0	41.0	37.0	41.0
24-25	40.03145776669186	41.0	41.0	41.0	37.0	41.0
26-27	39.94277879359079	41.0	41.0	41.0	37.0	41.0
28-29	39.932226641385085	41.0	41.0	41.0	37.0	41.0
30-31	39.87481649080863	41.0	41.0	41.0	37.0	41.0
32-33	39.89652231987496	41.0	41.0	41.0	37.0	41.0
34-35	39.903782563672756	41.0	41.0	41.0	37.0	41.0
36-37	39.837733527509826	41.0	41.0	41.0	37.0	41.0
38-39	39.846215947010705	41.0	41.0	41.0	37.0	41.0
40-41	39.844832060357064	41.0	41.0	41.0	37.0	41.0
42-43	39.81221224928893	41.0	41.0	41.0	37.0	41.0
44-45	39.80262468416675	41.0	41.0	41.0	37.0	41.0
46-47	39.77778795759566	41.0	41.0	41.0	37.0	41.0
48-49	39.7566835694531	41.0	41.0	41.0	37.0	41.0
50-51	39.75023481923455	41.0	41.0	41.0	37.0	41.0
52-53	39.75561395055128	41.0	41.0	41.0	37.0	41.0
54-55	39.69289620663967	41.0	41.0	41.0	37.0	41.0
56-57	39.666274733917064	41.0	41.0	41.0	37.0	41.0
58-59	39.63555437657202	41.0	41.0	41.0	37.0	41.0
60-61	39.622438757835226	41.0	41.0	41.0	37.0	41.0
62-63	39.58810572487073	41.0	41.0	41.0	37.0	41.0
64-65	39.57864255679978	41.0	41.0	41.0	37.0	41.0
66-67	39.52830899738865	41.0	41.0	41.0	37.0	41.0
68-69	39.5355168433245	41.0	41.0	41.0	37.0	41.0
70-71	39.534369590538105	41.0	41.0	41.0	37.0	41.0
72-73	39.51049922724924	41.0	41.0	41.0	37.0	41.0
74-75	39.466542298074884	41.0	41.0	41.0	37.0	41.0
76-77	38.87345172917557	41.0	39.0	41.0	34.5	41.0
78-79	39.26896166931888	41.0	41.0	41.0	37.0	41.0
80-81	39.4796736225811	41.0	41.0	41.0	37.0	41.0
82-83	39.54509247607004	41.0	41.0	41.0	37.0	41.0
84-85	39.59560651044745	41.0	41.0	41.0	37.0	41.0
86-87	39.56635729586084	41.0	41.0	41.0	37.0	41.0
88-89	39.52839787183832	41.0	41.0	41.0	37.0	41.0
90-91	39.5092626758668	41.0	41.0	41.0	37.0	41.0
92-93	39.4511765608887	41.0	41.0	41.0	37.0	41.0
94-95	39.4311498710186	41.0	41.0	41.0	37.0	41.0
96-97	39.42356683536235	41.0	41.0	41.0	37.0	41.0
98-99	39.37383448901643	41.0	41.0	41.0	37.0	41.0
100	39.347270512148036	41.0	41.0	41.0	37.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.0605819537553991
1101	2	-0.08254381066705463
1101	3	-0.18983545836889704
1101	4	-0.0901599632286505
1101	5	-0.09005268176581893
1101	6	-0.13204799920316646
1101	7	-0.07200796203725446
1101	8	-0.13313742152809738
1101	9	-0.07676538773928598
1101	10-11	-0.1612288557866819
1101	12-13	-0.21888316492762527
1101	14-15	-0.15375813617713163
1101	16-17	-0.06832521925338852
1101	18-19	-0.10849875099960116
1101	20-21	-0.10691857616139089
1101	22-23	-0.12602296572431015
1101	24-25	-0.12687183085033382
1101	26-27	-0.0700357961259428
1101	28-29	-0.1661327640073864
1101	30-31	-0.16110168658698143
1101	32-33	-0.12790490606933957
1101	34-35	-0.057142751409564596
1101	36-37	-0.044379279112654046
1101	38-39	-0.1403730168215418
1101	40-41	-0.21859867571497915
1101	42-43	-0.18736946864748916
1101	44-45	-0.1831525478303888
1101	46-47	-0.06350689835851853
1101	48-49	-0.14203842987845405
1101	50-51	-0.15747002971741608
1101	52-53	-0.07066328748888395
1101	54-55	-0.1235608446598988
1101	56-57	-0.1401791293629131
1101	58-59	-0.05341932563865015
1101	60-61	-0.12332301269166379
1101	62-63	-0.08130770408534005
1101	64-65	-0.14870640159843873
1101	66-67	-0.1708021004460889
1101	68-69	-0.11964775992143473
1101	70-71	-0.13652507810631676
1101	72-73	-0.2941348473501577
1101	74-75	-0.16113419117215955
1101	76-77	-0.4435277151642225
1101	78-79	-0.23499968805731442
1101	80-81	-0.09346465116719571
1101	82-83	-0.0234135928723731
1101	84-85	-0.0518820877347963
1101	86-87	-0.060293535322230696
1101	88-89	-0.1251863604814787
1101	90-91	-0.06983309521272218
1101	92-93	-0.14395396942255445
1101	94-95	-0.17208136743339253
1101	96-97	-0.0981857904299801
1101	98-99	-0.0986655028627581
1101	100	-0.044146036105360054
1102	1	-0.006894115914032994
1102	2	-0.07642412971725676
1102	3	-0.4542369460535909
1102	4	-0.15665822547481412
1102	5	-0.07635520741886381
1102	6	-0.286305664781203
1102	7	-0.0942164539391257
1102	8	-0.09116102753542776
1102	9	-0.29864214648374343
1102	10-11	-0.14287299518020546
1102	12-13	-0.13087376767509085
1102	14-15	-0.2145948324504232
1102	16-17	-0.13490013244304322
1102	18-19	-0.09264172577582741
1102	20-21	-0.13170204115082385
1102	22-23	-0.1123264237585957
1102	24-25	-0.1364081387765239
1102	26-27	-0.17576951105847627
1102	28-29	-0.10957270631040217
1102	30-31	-0.11443848307320792
1102	32-33	-0.14030039382585358
1102	34-35	-0.1428622856935533
1102	36-37	-0.0956474314710789
1102	38-39	-0.14756351400237833
1102	40-41	-0.14722248581049513
1102	42-43	-0.14973498182453682
1102	44-45	-0.16619874513428812
1102	46-47	-0.12052816966469493
1102	48-49	-0.1403307298527281
1102	50-51	-0.30737246121540096
1102	52-53	-0.2348709224780663
1102	54-55	-0.23514153203334587
1102	56-57	-0.1573050776609577
1102	58-59	-0.16692555226551065
1102	60-61	-0.22370948511164102
1102	62-63	-0.17280946348969906
1102	64-65	-0.19886081387290488
1102	66-67	-0.1293414781869373
1102	68-69	-0.23213920919426556
1102	70-71	-0.15048138676976208
1102	72-73	-0.17106919690501599
1102	74-75	-0.22036226793989755
1102	76-77	-0.6226929747209269
1102	78-79	-0.33079989384560804
1102	80-81	-0.1764025875838513
1102	82-83	-0.052881539902230656
1102	84-85	-0.09242680495053435
1102	86-87	-0.10642908567584897
1102	88-89	-0.14261095619720265
1102	90-91	-0.09327426225099344
1102	92-93	-0.10666647576179855
1102	94-95	-0.11634590855167204
1102	96-97	-0.13623859097576485
1102	98-99	-0.14818501566550424
1102	100	-0.25581554173196963
1103	1	0.07250712578709795
1103	2	-0.14777805410972888
1103	3	-0.38562143460111287
1103	4	-0.4269923495879482
1103	5	-0.2674573727086198
1103	6	-0.5430357659211253
1103	7	-0.4694910305394444
1103	8	-0.35422343758159514
1103	9	-0.312669341218502
1103	10-11	-0.20339519493050062
1103	12-13	-0.27093009816173463
